repository,branch,source_path,raw_url,artifact_type,detected_keywords
frappe/erpnext,develop,banking/README.md,https://raw.githubusercontent.com/frappe/erpnext/develop/banking/README.md,ERPNext documentation artifact,"bank, banking"
frappe/erpnext,develop,banking/package.json,https://raw.githubusercontent.com/frappe/erpnext/develop/banking/package.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
frappe/erpnext,develop,banking/tsconfig.app.json,https://raw.githubusercontent.com/frappe/erpnext/develop/banking/tsconfig.app.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
frappe/erpnext,develop,banking/tsconfig.json,https://raw.githubusercontent.com/frappe/erpnext/develop/banking/tsconfig.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
frappe/erpnext,develop,banking/tsconfig.node.json,https://raw.githubusercontent.com/frappe/erpnext/develop/banking/tsconfig.node.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
frappe/erpnext,develop,erpnext/accounts/README.md,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/README.md,ERPNext documentation artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/accounts_dashboard/accounts/accounts.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/accounts_dashboard/accounts/accounts.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/accounts_dashboard/payments/payments.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/accounts_dashboard/payments/payments.json,ERPNext JSON DocType/configuration artifact,"account, accounts, payment"
frappe/erpnext,develop,erpnext/accounts/custom/address.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/custom/address.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/accounts_payable_ageing/accounts_payable_ageing.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/accounts_payable_ageing/accounts_payable_ageing.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/accounts_receivable_ageing/accounts_receivable_ageing.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/accounts_receivable_ageing/accounts_receivable_ageing.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/bank_balance/bank_balance.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/bank_balance/bank_balance.json,ERPNext JSON DocType/configuration artifact,"account, accounts, bank"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/budget_variance/budget_variance.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/budget_variance/budget_variance.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/incoming_bills_(purchase_invoice)/incoming_bills_(purchase_invoice).json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/incoming_bills_(purchase_invoice)/incoming_bills_(purchase_invoice).json,ERPNext JSON DocType/configuration artifact,"account, accounts, invoice, purchase_invoice"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/outgoing_bills_(sales_invoice)/outgoing_bills_(sales_invoice).json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/outgoing_bills_(sales_invoice)/outgoing_bills_(sales_invoice).json,ERPNext JSON DocType/configuration artifact,"account, accounts, invoice, sales_invoice"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart/profit_and_loss/profit_and_loss.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart/profit_and_loss/profit_and_loss.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart_source/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart_source/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart_source/account_balance_timeline/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart_source/account_balance_timeline/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart_source/account_balance_timeline/account_balance_timeline.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart_source/account_balance_timeline/account_balance_timeline.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/dashboard_chart_source/account_balance_timeline/account_balance_timeline.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/dashboard_chart_source/account_balance_timeline/account_balance_timeline.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/deferred_revenue.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/deferred_revenue.py,ERPNext Python business logic/test artifact,"account, accounts, revenue"
frappe/erpnext,develop,erpnext/accounts/doctype/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/README.md,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/README.md,ERPNext documentation artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/account.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/account.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/account.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/account.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/__init__.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/chart_of_accounts.py,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/chart_of_accounts.py,ERPNext Python business logic/test artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/at_austria_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/at_austria_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/be_l10nbe_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/be_l10nbe_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/ch_l10nch_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/ch_l10nch_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cl_cl_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cl_cl_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cn_l10n_chart_china.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cn_l10n_chart_china.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_0.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_0.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_x.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/cr_account_chart_template_x.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/de_l10n_de_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/de_l10n_de_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/ec_ec_chart_template.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/ec_ec_chart_template.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/es_account_chart_template_common.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/es_account_chart_template_common.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
frappe/erpnext,develop,erpnext/accounts/doctype/account/chart_of_accounts/unverified/et_l10n_et.json,https://raw.githubusercontent.com/frappe/erpnext/develop/erpnext/accounts/doctype/account/chart_of_accounts/unverified/et_l10n_et.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
